SampleID,name,depth,coral.species,sampling.reef.name,status,substrate ,temperature,transplant.status,transplanted.from,transplanted.to,transplantation,visibility,visibility.rank,survivorship,keep
SRR12022456,SRR12022456,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12.3,posttransplantation,Varadero,Rosario,Medium/Low,25,high,alive,yes
SRR12022457,SRR12022457,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12.3,posttransplantation,Varadero,Rosario,Medium/Low,25,high,alive,yes
SRR12022458,SRR12022458,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12.3,posttransplantation,Varadero,Rosario,Medium/Low,25,high,alive,no
SRR12022459,SRR12022459,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,no
SRR12022460,SRR12022460,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,yes
SRR12022461,SRR12022461,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,no
SRR12022462,SRR12022462,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,yes
SRR12022463,SRR12022463,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022464,SRR12022464,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,yes
SRR12022465,SRR12022465,30,Orbicella faveolata,Rosario,Rosario_Rosario,transplant_platform,12.3,posttransplantation,Rosario,Rosario,Low/Low,25,high,alive,yes
SRR12022466,SRR12022466,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12.3,posttransplantation,Varadero,Rosario,Medium/Low,25,high,alive,yes
SRR12022467,SRR12022467,30,Orbicella faveolata,Rosario,Varadero_Rosario,transplant_platform,12.3,posttransplantation,Varadero,Rosario,Medium/Low,25,high,alive,yes
SRR12022474,SRR12022474,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022483,SRR12022483,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022484,SRR12022484,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022485,SRR12022485,3.5,Orbicella faveolata,Varadero,Varadero_pretransplantation,transplant_platform,30,pretransplantation,Varadero,pretransplantation,,10,medium,alive,yes
SRR12022486,SRR12022486,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022487,SRR12022487,3,Orbicella faveolata,Cartagena_Bay,Varadero_Cartagena_Bay,transplant_platform,30,posttransplantation,Varadero,Cartagena_Bay,Medium/High,2.5,low,alive,yes
SRR12022488,SRR12022488,3,Orbicella faveolata,Cartagena_Bay,Rosario_Cartagena_Bay,transplant_platform,30,posttransplantation,Rosario,Cartagena_Bay,Low/High,2.5,low,alive,yes
